PROVIDER_ID|PROVIDER_NPI_NUMBER|PROVIDER_NAME|SUPPLIER_NAME
P1025345|1629249016|AMER A NAIEM|RADIOLOGY ASC OF HOLLYWO
P1003611|1427042852|CURTIS D JOHNSON|ENT AND ALLERGY ASSOCIAT
P1000320|1750340048|ABRAHAM BICHACHI|ABRAHAM BICHACHI
P1012603|1265417471|FRANCES I CADOGAN|QUALITY MEDICAL CONSULTANTS INC
P1012603|1265417471|FRANCES I CADOGAN|HOSPITALIST ONE LLC
S1035821|1841452141|FLAMINGO ANESTHESIA ASSOCIATES|FLAMINGO ANESTHESIA ASSOCIATES
P1000058|1679586044|SURJIT ATHWAL-JOHAL|DOCTORS HLTH GRP OF S FL
P1074756|1336535020|DANIEL M VU|ZZUMDC-DEPT OF OPHTHALMLGY
P1008842|1821052739|ALDO A CALVO|CLINICA DE LAS AMERICAS
P2009590|1770825523|MEGHAN BROOKING|BH PHYSICIANS MAIN
S1001286|1982688230|SOUTH MIAMI HOSPITAL, INC.|SOUTH MIAMI HOSPITAL, INC.
P1019157|1528070521|JACOBO KIRSCH|JACOBO KIRSCH
P2004392|1083811053|CHRISTINA DIXON|RITECARE MEDICAL CENTER, LLC
P1006793|1235102476|Hilaire Fernandes|CARD CONSULT W BROWARD
P1018738|1699975268|SASHIKUMAR THARMARAJAH|FL HOSP MEDICINE SVCS
P1018738|1699975268|SASHIKUMAR THARMARAJAH|MEMORIAL HOSPITLIST INC
P1035147|1902951742|ANDRES F SOSA|UMIAMI PUL CC SLEEP
P1071610|1760801468|PETER H BRANCALE|COLLINS PHYSICIAN SERVIC
S1007554|1790869402|CARDIO NET INC|CARDIO NET INC
P1080062|1215295639|RICARDO PALMEROLA|MT SINAI MED CTR UROLOGY
P1001328|1851512354|CARLOS BUZNEGO|CTR EXCELLENCE EYE CARE
P1016594|1811929144|RAJDEEP S GADH|S FLORIDA NEPHROLOGY GRP
P1003234|1831154202|MITCHELL S WHITEMAN|CLEVELAND CLINIC- FLORIDA
S1011860|1831567627|UNIQUE HEALTHCARE SYSTEMS|UNIQUE HEALTHCARE SYSTEMS
P1013151|1639272628|DAN DEAC|CLEVELAND CLINIC- FLORIDA
S1044244|1013258060|XLHOME PC|XLHOME PC
P1007772|1245284090|ROLANDO ACEVEDO|ROLANDO ACEVEDO MD PA
S1008854|1396858791|EMES PROFESSIONAL ASSOCIATES INC|EMES PROFESSIONAL ASSOCIATES INC
P1022922|1528225638|CARLOS PEREZ|ILLUMINA MEDICAL CENTERS
P1018419|1043475684|ESTHER AMADOR-DELVALL|COLLINS PHYSICIAN SERVIC
P1002297|1881665461|OWEN G PELLER|OWEN PELLER MD LLC
P1005677|1831143312|STUART KROST|F E T OF FL
P1007176|1669572400|MITCHELL B COHEN|CARDIO NEURO ASSOC - EK
P1005821|1639165400|LANCE LEHMANN|LANCE LEHMANN PA
P1081532|1235282260|MARJORIE LEWIS|ASSOC IN FAM PRCT /BRWD
P1080972|1689144636|ISEL HUELBES|CANO HEALTH LLC
P1003590|1205815289|MARK H KRAVETZ|HOLLYWOOD MEDICAL CENTER
P1001334|1316951700|JOHN HYLTON|JOHN B HYLTON MD PA
P1043998|1073584710|CHRISTOPHER J BLANCO|PODIATRY NETWORK SOLUTIONS OF FLORIDA LLC
P1016989|1891965158|ESTEBAN ESCOLAR|MT SINAI MED CTR CARD
P1013676|1194820944|JORGE AJURIA|RENAL HYPERTENSION CTR
P1034709|1235672585|SULAIMAN ALHUMAID|UMIAMI MEDICINE - OPHTHALMOLOGY
P1007324|1730126095|SELBOURNE C GOODE|MEMORIAL EKG ASSOCIATES
P1007324|1730126095|SELBOURNE C GOODE|MEMORIAL HEALTHCARE SYST
P1070992|1871903500|Ailen Sell Gramatges|BAPTIST HLTH MED GRP PHY
S1036423|1346514320|DERMATOLOGY NETWORK SOLUTIONS S FL|DERMATOLOGY NETWORK SOLUTIONS S FL
S1007657|1659443042|HALLANDALE OP SURGICAL CENTER|HALLANDALE OP SURGICAL CENTER
P1003826|1053307876|TAYLOR POOLE|POOLE AND VILLANI MDS PA
P1003433|1285602078|BERNARD GRAN|NEUROSCIENCE CONSULTANTS
S1035569|1346287166|SHERIDAN EMERGENCY PHY SVCS OF S DAD|SHERIDAN EMERGENCY PHY SVCS OF S DAD
P1000190|1417989310|GEORGE E MUNOZ|ARTHRITIS & OSTEOPOROSIS
S1010149|1407124316|NEW RIVIERA NURSING & REHAB|NEW RIVIERA NURSING & REHAB
P1046778|1932159043|CESAR CONDE|CESAR CONDE
P1046778|1932159043|CESAR CONDE|MSMC ECG READERS ASSOCIATES PA
P1047811|1093742504|CLAUDIA E PENALBA|PENALBA REHAB MEDICINE
P1008071|1508834458|MICHAEL S SOFMAN|SOBEL & SOFMAN MD PA
P1008071|1508834458|MICHAEL S SOFMAN|SKIN & CANCER ASSOCIATES
P1013640|1477567642|MICHAEL MALLIS|ZZMEMORIAL DIVISION OF GENERAL SURGERY
S1002684|1104829159|LABCORP OF AMERICA|LABCORP OF AMERICA
P1049555|1871552356|MOHAMMED S ARZU|HOSPITALIST MED PHYS FL
P1010976|1851398945|DEBRA L LINZER|MSMC ONCOLOGY LLC
P1006232|1780662700|MICHAEL J RUSH|PALMETTO MED IMAGING PA
P1006288|1730152646|WILLIAM S KOREY|INPHYNET SOUTH BROWARD,I
P1022155|1063640688|IRVING A JORGE|PHYSICIAN PRAC OF MSMC
S1000147|1528042884|BAPTIST HOSPITAL OF MIAMI, INC|BAPTIST HOSPITAL OF MIAMI, INC
P1022617|1154552537|ANDREA P AEDO|PODIATRY NETWORK SOLUTIONS OF FLORIDA LLC
P1019157|1528070521|JACOBO KIRSCH|CLEVELAND CLINIC FLORID
P1024756|1538206933|S M RAHMAN|COMPASS HEALTH SYSTEMS
P1013301|1710052089|DIANA L SHECHTMAN|SOUTH FLORIDA EYE CARE
P1018738|1699975268|SASHIKUMAR THARMARAJAH|GREGORY L NEDURIAN MD PA
P1012520|1497715387|SERGIO L PINSKI|CLEVELAND CLINIC FLORID
S1005705|1104819648|MOBILE QUALITY DIAGNOSTIC|MOBILE QUALITY DIAGNOSTIC
P1018117|1932314960|MERRICK D ELIAS|DERMATOLOGY NETWORK SOLUTIONS S FL
